vulnerability_id,cve_id,server_id,office_id,severity,os_type,is_eol_os,component_name,is_eol_component,discovery_date
VULN-00001,CVE-2023-89166,SERVER-061,Office-D,Medium,Windows Server 2019,FALSE,OpenSSH,FALSE,2024-10-10
VULN-00002,CVE-2021-2034,SERVER-051,Office-D,Critical,Ubuntu 20.04,FALSE,Struts 2,TRUE,2024-08-21
VULN-00003,CVE-2023-89852,SERVER-005,Office-C,Medium,Windows Server 2022,FALSE,OpenSSL,FALSE,2024-10-19
VULN-00004,CVE-2023-70360,SERVER-024,Office-D,Critical,Windows Server 2016,TRUE,Apache HTTP Server,FALSE,2024-12-31
VULN-00005,CVE-2021-4567,SERVER-017,Office-A,Low,RedHat Enterprise Linux 8,FALSE,Python 2.7,TRUE,2023-08-06
VULN-00006,CVE-2022-80179,SERVER-049,Office-C,High,Windows Server 2019,FALSE,Struts 2,TRUE,2025-05-09
VULN-00007,CVE-2024-3553,SERVER-027,Office-B,Critical,Debian 9,TRUE,PHP 5.6,TRUE,2025-02-01
VULN-00008,CVE-2021-72035,SERVER-012,Office-B,Critical,Debian 9,TRUE,PHP 5.6,TRUE,2024-02-24
VULN-00009,CVE-2025-3645,SERVER-064,Office-D,Critical,Debian 9,TRUE,Spring Framework,FALSE,2024-10-18
VULN-00010,CVE-2024-89541,SERVER-011,Office-D,Low,Debian 9,TRUE,PHP 5.6,TRUE,2024-04-26
VULN-00011,CVE-2022-91490,SERVER-012,Office-B,Critical,Debian 9,TRUE,Python 2.7,TRUE,2023-10-31
VULN-00012,CVE-2023-99012,SERVER-023,Office-C,Medium,Debian 9,TRUE,PHP 5.6,TRUE,2024-11-01
VULN-00013,CVE-2022-2721,SERVER-060,Office-B,Medium,Windows Server 2016,TRUE,OpenSSL,FALSE,2023-11-26
VULN-00014,CVE-2021-71681,SERVER-064,Office-D,Low,Debian 9,TRUE,Tomcat,FALSE,2024-05-26
VULN-00015,CVE-2022-31709,SERVER-001,Office-D,Critical,Debian 9,TRUE,Tomcat,FALSE,2023-12-29
VULN-00016,CVE-2025-90364,SERVER-031,Office-A,Medium,Ubuntu 20.04,FALSE,PostgreSQL,FALSE,2025-03-10
VULN-00017,CVE-2024-87114,SERVER-017,Office-A,High,RedHat Enterprise Linux 8,FALSE,Node.js,FALSE,2023-08-15
VULN-00018,CVE-2021-91256,SERVER-064,Office-D,Low,Debian 9,TRUE,PHP 5.6,TRUE,2025-01-09
VULN-00019,CVE-2022-92643,SERVER-025,Office-A,Medium,Windows Server 2019,FALSE,nginx,FALSE,2023-11-12
VULN-00020,CVE-2025-47978,SERVER-002,Office-D,Medium,Ubuntu 20.04,FALSE,PHP 5.6,TRUE,2024-04-08
VULN-00021,CVE-2021-53317,SERVER-056,Office-C,High,CentOS 7,TRUE,PostgreSQL,FALSE,2024-02-03
VULN-00022,CVE-2025-24485,SERVER-038,Office-D,High,RedHat Enterprise Linux 8,FALSE,OpenSSH,FALSE,2023-08-10
VULN-00023,CVE-2021-63143,SERVER-026,Office-C,Medium,Linux,FALSE,JBoss,TRUE,2025-03-15
VULN-00024,CVE-2022-99233,SERVER-005,Office-C,Medium,Windows Server 2022,FALSE,OpenSSL,FALSE,2024-10-27
